"	가산에스케이","	서울특별시",금천구,가산디지털1로
"	독산사거리","	서울특별시",금천구,시흥대로
"	금천시흥","	서울특별시",금천구,시흥대로
"	가산디지털단지역","	서울특별시",금천구,벚꽃로
"	금천독산","	서울특별시",금천구,두산로
"	가산디지털","	서울특별시",금천구,가산디지털1로
"	W-Mall","	서울특별시",금천구,디지털로
"	마리오아울렛","	서울특별시",금천구,디지털로9길
"	가산브이타워","	서울특별시",금천구,가산디지털1로
"	가산그레이트","	서울특별시",금천구,디지털로9길
"	공릉DT","	서울특별시",노원구,동일로
"	노원마들역","	서울특별시",노원구,노원로
"	공릉역","	서울특별시",노원구,동일로
"	서울여대","	서울특별시",노원구,화랑로
"	은행사거리","	서울특별시",노원구,중계로
"	노원KT","	서울특별시",노원구,노해로
"	광운대","	서울특별시",노원구,석계로
"	중계역","	서울특별시",노원구,동일로
"	노원역","	서울특별시",노원구,동일로
"	월계이마트","	서울특별시",노원구,마들로3길
"	쌍문역","	서울특별시",도봉구,도봉로
"	이수자이","	서울특별시",동작구,사당로
"	노량진역","	서울특별시",동작구,노량진로
"	신대방삼거리역","	서울특별시",동작구,상도로
"	중앙대","	서울특별시",동작구,흑석로
"	숭실대입구역","	서울특별시",동작구,상도로
"	숭실대","	서울특별시",동작구,사당로
"	사당역","	서울특별시",동작구,동작대로
"	보라매타운","	서울특별시",동작구,보라매로5길
"	마포용강동","	서울특별시",마포구,토정로
"	홍대입구역사거리R","	서울특별시",마포구,양화로
"	마포경찰서후문","	서울특별시",마포구,마포대로
"	공덕","	서울특별시",마포구,마포대로
"	합정폴리스R","	서울특별시",마포구,양화로
"	홍대공항철도역","	서울특별시",마포구,양화로
"	마포염리","	서울특별시",마포구,독막로
"	서강광흥창역","	서울특별시",마포구,서강로
"	합정","	서울특별시",마포구,월드컵로1길
"	서강대흥역","	서울특별시",마포구,백범로
"	서교동사거리","	서울특별시",마포구,양화로
"	상암사보이시티","	서울특별시",마포구,월드컵북로54길
"	신촌오거리","	서울특별시",마포구,신촌로16길
"	상암디지털큐브","	서울특별시",마포구,상암산로
"	상수역","	서울특별시",마포구,독막로
"	공덕오거리","	서울특별시",마포구,마포대로
"	서교","	서울특별시",마포구,양화로
"	서강대","	서울특별시",마포구,백범로
"	상암MBC","	서울특별시",마포구,성암로
"	홍대공원","	서울특별시",마포구,와우산로
"	홍대역","	서울특별시",마포구,양화로
"	동교","	서울특별시",마포구,월드컵북로
"	애오개역","	서울특별시",마포구,마포대로
"	홍대갤러리","	서울특별시",마포구,와우산로
"	상암DMC","	서울특별시",마포구,월드컵북로
"	마포일진빌딩","	서울특별시",마포구,마포대로
"	마포아크로","	서울특별시",마포구,마포대로
"	홍대삼거리","	서울특별시",마포구,와우산로
"	망원역","	서울특별시",마포구,월드컵로
"	마포이마트","	서울특별시",마포구,백범로
"	합정메세나몰","	서울특별시",마포구,양화로
"	공덕역","	서울특별시",마포구,마포대로
"	신촌역","	서울특별시",서대문구,신촌로
"	연희동","	서울특별시",서대문구,연희로
"	아현역","	서울특별시",서대문구,신촌로35길
"	홍제역","	서울특별시",서대문구,통일로
"	연세백양로","	서울특별시",서대문구,연세로
"	명지대","	서울특별시",서대문구,거북골로
"	연희DT","	서울특별시",서대문구,연희로
"	동교삼거리","	서울특별시",서대문구,신촌로
"	경기대","	서울특별시",서대문구,충정로
"	신촌대로","	서울특별시",서대문구,신촌로
"	신촌","	서울특별시",서대문구,연세로
"	이대","	서울특별시",서대문구,이화여대길
"	연세종합관","	서울특별시",서대문구,연세로
"	이대ECC","	서울특별시",서대문구,이화여대길
"	연대","	서울특별시",서대문구,연세로
"	신촌아트레온","	서울특별시",서대문구,신촌로
"	충정로역","	서울특별시",서대문구,충정로
